"Seadu-sereanr";"NA";"Liik";"Konto";"Objektikood";"COFOG";"NA";"2016.ariigieelarveseadus";"NA";"NA";"NA"
"47";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-2 500";NA;NA;NA
"48";NA;"40";"5";NA;3;"74001127. Riigikohus";"-2 500";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Osa 6. VABARIIGI VALITSUS";NA;NA;NA;NA;NA;NA;NA;NA
"2";"PiirmääradjaarvestuslikudvahendidKULUD";NA;NA;NA;NA;NA;"-415 297 211";NA;NA;NA
"3";NA;NA;NA;NA;1;"Üldised valitsussektori teenused";"-117 991 174";NA;NA;NA
"4";NA;NA;NA;NA;4;"Majandus";"-29 712 500";NA;NA;NA
"5";NA;NA;NA;NA;9;"Haridus";"-237 370 537";NA;NA;NA
"6";NA;NA;NA;NA;10;"Sotsiaalne kaitse";"-30 223 000";NA;NA;NA
"7";NA;NA;NA;NA;NA;"Tegevuskulud";"-415 297 211";NA;NA;NA
"8";NA;"30";NA;"VR000000";1;"Vabariigi Valitsuse reserv";"-38 270 537";NA;NA;NA
"9";NA;"30";NA;"OR000000";1;"Vabariigi Valitsuse omandireformi reservfond";"-2 876 024";NA;NA;NA
"10";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-374 150 650";NA;NA;NA
"11";NA;"10";"4";"SE000024";10;"Toetusfond (vajaduspõhine peretoetus, toimetulekutoetus)";"-27 066 831";NA;NA;NA
"12";NA;"20";"4";"SE000023";1;"Kohalikuomavalitsuseüksusteeelarvetetasandusfond,misjaotataksekäesolevaseaduse§3lõikes1sätestatudkorras";"-76 101 038";NA;NA;NA
