pealkiri;nimetus
Riigieksamite vormid ja ajad, ühtsete põhikooli lõpueksamite ning tasemetööde õppeained, vormid ja ajad 2015/2016. õppeaastal;Riigieksami korduvsooritusele registreerimine
Perekonnaseisutoimingute seadus;Abielu lahutamine
Rahvastikuregistri seadus;Abielu lahutamine
Perekonnaseisutoimingute seadus;Sünni registreerimine
Nimeseadus;Sünni registreerimine
Rahvastikuregistri seadus;Sünni registreerimine
Perekonnaseadus;Sünni registreerimine
Rahvastikuregistri seadus;Surma registreerimine
Perekonnaseadus;Surma registreerimine
Perekonnaseisutoimingute seadus;Surma registreerimine
Nimeseadus;Nime muutmine
Perekonnaseadus;Perekonnaseisuandmete muutmine rahvastikuregistris
Perekonnaseisutoimingute seadus;Perekonnaseisuandmete muutmine rahvastikuregistris
Rahvastikuregistri seadus;Perekonnaseisuandmete muutmine rahvastikuregistris
Isikuandmete kaitse seadus1;Tõendi väljastamine
Perekonnaseisuasutusele esitatavate avalduste, paberil tehtavate perekonnaseisukannete ja perekonnaseisuandmete väljavõtete vormid, abieluvõimetõendile kantavad andmed ning mitmekeelses väljavõttes kasutatavate keelte loetelu;Tõendi väljastamine
