pealkiri;nimetus
Sotsiaalhoolekande seadus;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Lapsehoiuteenuse ja asenduskoduteenuse tegevusloa taotluse vormi kehtestamine;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Relvaseadus1;Relvade ja laskemoona sisse- ja väljaveo loa taotlemine
Relvaseadus1;Relvaloa aegumise teavituse tellimine
Relvaseadus1;Relvaseaduse alusel väljastatud tegevuslubade andmete vaatamine
Majandustegevuse seadustiku üldosa seadus1;Relvaseaduse alusel väljastatud tegevuslubade andmete vaatamine
Rahapesu ja terrorismi rahastamise tõkestamise seadus1;Rahapesu ja terrorismi rahastamise tõkestamise seaduse alusel majandustegevuse lubade taotlemine
Rahvusvahelise sanktsiooni seadus;Finantssanktsiooni subjekti otsing
Majandustegevuse seadustiku üldosa seadus1;Turvateenuse osutamise tegevusloa taotlemine
Turvaseadus;Turvateenuse osutamise tegevusloa taotlemine
Turvaseadus;Turvaseaduse alusel väljastatud tegevuslubade andmete vaatamine
Majandustegevuse seadustiku üldosa seadus1;Turvaseaduse alusel väljastatud tegevuslubade andmete vaatamine
Avaliku teabe seadus1;Politsei- ja Piirivalveameti dokumendiregistri andmete vaatamine
Majandustegevuse seadustiku üldosa seadus1;Tegevusloa taotlemine tegutsemiseks relvaseaduse alusel
Relvaseadus1;Tegevusloa taotlemine tegutsemiseks relvaseaduse alusel
Politsei- ja Piirivalveameti põhimäärus;Teenindusüksusesse aja broneerimine
Isikut tõendavate dokumentide seadus1;ID kaardi taotlemine
Isikut tõendavate dokumentide seadus1;Eesti kodaniku passi taotlemine
Isikut tõendavate dokumentide seadus1;Elamisloakaardi taotlemine
Isikut tõendavate dokumentide seadus1;Digi ID taotlemine
Isikut tõendavate dokumentide seadus1;E-residendi digitaalse isikutunnistuse taotlemine
Isikut tõendavate dokumentide seadus1;Mobiil-ID taotlemine
Euroopa Liidu kodaniku seadus1;Elamisõiguse taotluse staatuse andmete vaatamine
Isikut tõendavate dokumentide seadus1;Eesti kodaniku passi ja ID kaardi taotluse staatuse andmete vaatamine
Välismaalaste seadus1;Elamisloa taotluse staatuse andmete vaatamine
Välismaalaste seadus1;Kehtiva tähtajalise elamisloa või pikaajalise elaniku elamisloa olemasolu kontrollimine
Euroopa Liidu kodaniku seadus1;Kehtiva elamisõiguse olemasolu kontrollimine
Välismaalaste seadus1;Viisakleebise kehtivuse kontrollimine
Välismaalaste seadus1;Lühiajalise Eestis töötamise registreerimise kontrollimine
Välismaalaste seadus1;Lühiajalise töötamise registreerimise taotlemine tööandja poolt
Kodakondsuse seadus;Eesti kodakondsuse taotlemine
Kodakondsuse seadus;Eesti kodakondsusest vabastamise taotlemine
Kodakondsuse seadus;Eesti kodakondsuse taastamise taotlemine
Politsei ja piirivalve seadus;Merereostusest teatamine
Politsei ja piirivalve seadus;Politseile avalduse esitamine
Rahapesu ja terrorismi rahastamise tõkestamise seadus1;Rahapesu teavituse edastamine
Rahapesu ja terrorismi rahastamise tõkestamise seadus1;Teabenõude/selgitustaotluse/märgukirja esitamine Politsei- ja Piirivalveametile
Märgukirjale ja selgitustaotlusele vastamise ning kollektiivse pöördumise esitamise seadus[RT I, 01.04.2014, 1 - jõust. 11.04.2014] ;Teabenõude/selgitustaotluse/märgukirja esitamine Politsei- ja Piirivalveametile
Politsei- ja Piirivalveameti põhimäärus;Politsei- ja Piirivalveameti tegevust ja teenuseid puudutava informatsiooni küsimine
Politsei- ja Piirivalveameti põhimäärus;Tagasiside andmine Politsei- ja Piirivalveameti töö ja pakutavate teenuste kohta
Riigipiiri seadus1;Piiriületuse aja broneerimine
Riigipiiri seadus1;Piiriveekogule mineku ja sealt tagasituleku registreerimine
Välismaalaste seadus1;Tähtajalise elamisloa pikendamise või pikaajalise elaniku elamisloa taotlemine
Euroopa Liidu kodaniku seadus1;Elamisõiguste taotlemine
Isikut tõendavate dokumentide seadus1;Isikut tõendava dokumendi kehtivuse kontrollimine
Korrakaitseseadus;Avaliku koosoleku korraldamise teate esitamine
Korrakaitseseadus;Politseis registreeritud avalike koosolekute andmete vaatamine
Politsei- ja Piirivalveameti põhimäärus;Kuritegudest info ja vihjete edastamine politseile
Politsei- ja Piirivalveameti põhimäärus;Korruptsiooniga seotud vihjete edastamine politseile
Politsei- ja Piirivalveameti põhimäärus;Leitud esemete päring
Kohaliku tegevusgrupi toetus ja LEADER-projektitoetus;LEADER projektitoetus
Põllumajandusliku tegevusega alustava noore ettevõtja toetuse saamise nõuded, toetuse taotlemise ja taotluse menetlemise täpsem kord;Noorte põllumajandustootjate tegevuse alustamine (meede 1.2 MAK 2007-2013)
Maapiirkonnas majandustegevuse mitmekesistamise investeeringutoetuse andmise ja kasutamise tingimused ning kord;Investeeringud majandustegevuse mitmekesistamiseks maapiirkonnas mittepõllumajandusliku tegevuse suunas
Otsetoetuste saamise üldised nõuded, ühtne pindalatoetus, kliima- ja keskkonnatoetus ning noore põllumajandustootja toetus;Ühtse pindalatoetuse ning kliima - ja keskkonnatoetuse taotlemine
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Ühtse pindalatoetuse ning kliima - ja keskkonnatoetuse taotlemine
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Ühtse pindalatoetuse ning kliima - ja keskkonnatoetuse taotlemine
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Ühtse pindalatoetuse ning kliima - ja keskkonnatoetuse taotlemine
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Ühtse pindalatoetuse ning kliima - ja keskkonnatoetuse taotlemine
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Noore põllumajandustootja toetuse taotlemine
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Noore põllumajandustootja toetuse taotlemine
Otsetoetuste saamise üldised nõuded, ühtne pindalatoetus, kliima- ja keskkonnatoetus ning noore põllumajandustootja toetus;Noore põllumajandustootja toetuse taotlemine
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Noore põllumajandustootja toetuse taotlemine
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Noore põllumajandustootja toetuse taotlemine
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Puu - ja köögivilja kasvatamise otsetoetuse taotlemine
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Puu - ja köögivilja kasvatamise otsetoetuse taotlemine
Puu- ja köögivilja kasvatamise otsetoetus;Puu - ja köögivilja kasvatamise otsetoetuse taotlemine
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Puu - ja köögivilja kasvatamise otsetoetuse taotlemine
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Puu - ja köögivilja kasvatamise otsetoetuse taotlemine
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Piimalehma kasvatamise, ammlehma kasvatamise ning ute ja kitse kasvatamise otsetoetuse taotlemine
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Piimalehma kasvatamise, ammlehma kasvatamise ning ute ja kitse kasvatamise otsetoetuse taotlemine
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Piimalehma kasvatamise, ammlehma kasvatamise ning ute ja kitse kasvatamise otsetoetuse taotlemine
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Piimalehma kasvatamise, ammlehma kasvatamise ning ute ja kitse kasvatamise otsetoetuse taotlemine
Piimalehma, ammlehma ning ute ja kitse kasvatamise otsetoetus;Piimalehma kasvatamise, ammlehma kasvatamise ning ute ja kitse kasvatamise otsetoetuse taotlemine
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Põllumassiivide veebikaart
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Põllumassiivide veebikaart
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Põllumassiivide veebikaart
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Põllumassiivide veebikaart
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Minu põllud teenus
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Minu põllud teenus
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Minu põllud teenus
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Minu põllud teenus
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Sooviavaldus PRIA kliendiks registreerumiseks  toetuse taotlejana
Põllumajandusloomade register1;Sooviavaldus PRIA kliendiks registreerumiseks  loomapidajana/ettevõtjana
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Taotleja kliendiandmete vaatamine ja muutmine
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Taotleja arveldusarve muutmine
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Taotleja kliendiandmete sulgemine
Põllumajandusloomade register1;Loomapidaja kliendiandmete vaatamine ja muutmine
Põllumajandusloomade register1;Loomapidaja kliendiandmete sulgemine
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Kliendi otsing
Haldusmenetluse seadus;Volitatud esindajad
Põllumajandusloomade register1;Loomade andmete vaatamine
Põllumajandusloomade register1;Loomapidajaga seotud vigased andmed
Põllumajandusloomade register1;Ehitiste andmete vaatamine
Põllumajandusloomade register1;Menetluses olevad ehitised
Põllumajandusloomade register1;Veiste, lammaste, kitsede märgistamine
Põllumajandusloomade register1;Veiste, lammaste, kitsede esmakordne poegimine (kui järglast ei ole võimalik märgistada), kadumine, hukkumine
Põllumajandusloomade register1;Veiste, lammaste, kitsede tapmise registreerimine
Põllumajandusloomade register1;Veiste, lammaste, kitsede Eesti-sisene liikumine
Põllumajandusloomade register1;Veiste, lammaste, kitsede toomine Eestisse
Põllumajandusloomade register1;Veiste, lammaste, kitsede Eestist väljaviimine
Põllumajandusloomade register1;Sigade liikumine
Põllumajandusloomade register1;Asenduskõrvamärkide tellimine
Põllumajandusloomade register1;Sigade arv ehitises teatamine 1. mai seisuga
Põllumajandusloomade register1;Lammaste ja kitsede arv ehitises teatamine 1. jaanuari seisuga
Põllumajandusloomade register1;Mesilasperede arvu teatamine
Põllumajandusloomade register1;Hoone või ala registreerimise taotlus
Põllumajandusloomade register1;Vesiviljelusettevõtte registreerimise taotlus
Põllumajandusloomade register1;Registreeri olemasolev ehitis enda nimele
Põllumajandusloomade register1;Veiste, lammaste, kitsede Eesti-sisene massliikumine
Põllumajandusloomade register1;Ettevõtte registreerimise taotlus
Põllumajandusloomade register1;Hobuslaste otsing
Põllumajandusloomade register1;Hobuslaste vigade otsing
Põllumajandusloomade register1;Hobuslase eellase registreerimine
Põllumajandusloomade register1;Imporditud hobuslase registreerimine
Põllumajandusloomade register1;Hobuslasega seotud isikute andmete otsing ja haldamine
Põllumajandusloomade register1;Võistluste otsing
Põllumajandusloomade register1;Ülevaatuste otsing
Põllumajandusloomade register1;Tuberkluliinimiste otsing
Põllumajandusloomade register1;Tuberkuliinitud veise otsing
Põllumajandusloomade register1;Tuberkuliinimise ehitise otsing
Põllumajandusloomade register1;Kasutaja tuberkuliinimiste nimekiri
Põllumajandusloomade register1;Kontrollitava ehitise otsing
Põllumajandusloomade register1;Ettevõtte tunnustamise taotluste otsing
Põllumajandusloomade register1;Veiste, lammaste, kitsede tapmine tapamajas
Põllumajandusloomade register1;Põllumajandusloomade registris  olevate veiste avalike andmete otsing
Põllumajandusloomade register1;Põllumajandusloomade registris olevate lammaste avalike andmete otsing
Põllumajandusloomade register1;Põllumajandusloomade registris olevate kitsede avalike andmete otsing
Põllumajandusloomade register1;Hobuslaste registri avalike andmete otsing
Põllumajandusloomade register1;Veiste, lammaste ja kitsede arvu seis
Põllumajandusloomade register1;Põllumajandusloomade registri statistilised andmed hetkeseisuga
Põllumajandusloomade register1;Põllumajandusloomade registris olevate veiste, lammaste ja kitsede avalike andmete XML otsing
Põllumajandusloomade register1;Vesiviljelusettevõtete otsing
Kalapüügi- või vesiviljelustoodete tootja või töötleja koolitustoetus;Kalapüügi- või vesiviljelustoodete tootja või töötleja koolitustoetus
Kalapüügi- või vesiviljelustoodete tootja või töötleja praktikatoetus;Kalapüügi- või vesiviljelustoodete tootja või töötleja praktikatoetus
Väikepõllumajandustootja toetus;Väikepõllumajandustootja toetuse taotlemine (loobumine)
2015. aastal „Eesti maaelu arengukava 2007–2013<U+02EE> alusel antavad Euroopa Liidu ühise põllumajanduspoliitikaga kaasnevad maaelu arengu toetused ja „Eesti maaelu arengukava 2014–2020<U+02EE> alusel antavad Euroopa Liidu ühise põllumajanduspoliitika kohased maaelu arengu toetused;MAK 2007-2013 mahepõllumajandusliku tootmise toetuse taotlemine
2015. aastal „Eesti maaelu arengukava 2007–2013<U+02EE> alusel antavad Euroopa Liidu ühise põllumajanduspoliitikaga kaasnevad maaelu arengu toetused ja „Eesti maaelu arengukava 2014–2020<U+02EE> alusel antavad Euroopa Liidu ühise põllumajanduspoliitika kohased maaelu arengu toetused;MAK 2007-2013 kohalikku sorti taimede kasvatamise toetuse taotlemine
2015. aastal „Eesti maaelu arengukava 2007–2013<U+02EE> alusel antavad Euroopa Liidu ühise põllumajanduspoliitikaga kaasnevad maaelu arengu toetused ja „Eesti maaelu arengukava 2014–2020<U+02EE> alusel antavad Euroopa Liidu ühise põllumajanduspoliitika kohased maaelu arengu toetused;MAK 2007-2013 ohustatud tõugu looma pidamise toetuse taotlemine
2015. aastal „Eesti maaelu arengukava 2007–2013<U+02EE> alusel antavad Euroopa Liidu ühise põllumajanduspoliitikaga kaasnevad maaelu arengu toetused ja „Eesti maaelu arengukava 2014–2020<U+02EE> alusel antavad Euroopa Liidu ühise põllumajanduspoliitika kohased maaelu arengu toetused;MAK 2007-2013 poolloodusliku koosluse hooldamise toetuse taotlemine
Keskkonnasõbraliku majandamise toetus;MAK 2014-2020 keskkonnasõbraliku majandamise toetuse taotlemine
Keskkonnasõbraliku köögivilja-, ravimtaime- ja maitsetaimekasvatuse ning maasikakasvatuse toetus;MAK 2014-2020 keskkonnasõbraliku aianduse köögivilja-, ravim- ja maitsetaimekasvatuse ja maasikakasvatuse toetuse taotlemine
Piirkondlik mullakaitse toetus;MAK 2014-2020 piirkondlik mullakaitse toetuse taotlemine
Keskkonnasõbraliku puuvilja- ja marjakasvatuse toetus;MAK 2014-2020 keskkonnasõbraliku aianduse puuvilja- ja marjakasvatuse toetuse taotlemine
Kohalikku sorti taimede kasvatamise toetus;MAK 2014-2020 kohalikku sorti taimede kasvatamise toetuse taotlemine
Ohustatud tõugu looma pidamise toetus;MAK 2014-2020 ohustatud tõugu looma pidamise toetuse taotlemine
Poolloodusliku koosluse hooldamise toetus;MAK 2014-2020 poolloodusliku koosluse hooldamise toetuse taotlemine
Mahepõllumajandusele ülemineku toetus ja mahepõllumajandusega jätkamise toetus;MAK 2014-2020 mahepõllumajanduse toetuse taotlemine
Loomade heaolu toetus;MAK 2014-2020 loomade heaolu toetuse taotlemine
Natura 2000 alal asuva põllumajandusmaa kohta antav toetus;MAK 2014-2020 Natura 2000 toetus põllumajandusmaale taotlemine
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Minu niidud teenus
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Minu niidud teenus
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Minu niidud teenus
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Minu niidud teenus
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Dokumendi üleslaadimise teenus
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Dokumendi üleslaadimise teenus
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Dokumendi üleslaadimise teenus
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Dokumendi üleslaadimise teenus
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Põllumassiivi või maastikuelemendi piiriettepaneku teenus
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Põllumassiivi või maastikuelemendi piiriettepaneku teenus
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Põllumassiivi või maastikuelemendi piiriettepaneku teenus
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Põllumassiivi või maastikuelemendi piiriettepaneku teenus
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Pindala- ja loomapõhiste toetuste kohustuste andmete vaatamise ja üleandmise teenus
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Pindala- ja loomapõhiste toetuste kohustuste andmete vaatamise ja üleandmise teenus
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Pindala- ja loomapõhiste toetuste kohustuste andmete vaatamise ja üleandmise teenus
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Pindala- ja loomapõhiste toetuste kohustuste andmete vaatamise ja üleandmise teenus
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Täiendava otsetoetuse toetusõiguste vaatamise ja üleandmise teenus
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Täiendava otsetoetuse toetusõiguste vaatamise ja üleandmise teenus
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Täiendava otsetoetuse toetusõiguste vaatamise ja üleandmise teenus
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Täiendava otsetoetuse toetusõiguste vaatamise ja üleandmise teenus
Täiendava otsetoetuse toetusõiguse üleandmisest teavitamise kord ja vorm;Täiendava otsetoetuse toetusõiguste vaatamise ja üleandmise teenus
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Keskkonnatoetuste koolituste andmete teenus
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Keskkonnatoetuste koolituste andmete teenus
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Keskkonnatoetuste koolituste andmete teenus
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Keskkonnatoetuste koolituste andmete teenus
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Mahetunnustatuse andmete vaatamise teenus
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Mahetunnustatuse andmete vaatamise teenus
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Mahetunnustatuse andmete vaatamise teenus
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Mahetunnustatuse andmete vaatamise teenus
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Heinaseemne põldude põldtunnustamise andmete vaatamise teenus
Põllumassiivi kaardi koostamise, põllumassiivi piiripunktide määramise, põllumassiivile unikaalse numberkoodi andmise, põllumassiivi toetusõigusliku pindala ning põllumassiivil asetsevate maastikuelementide määramise ja korra ning põllumassiivi kasutamise kohta esitatavad andmed ja nende esitamise kord;Heinaseemne põldude põldtunnustamise andmete vaatamise teenus
Põllumajandustoetuste ja põllumassiivide registri põhimäärus;Heinaseemne põldude põldtunnustamise andmete vaatamise teenus
Maa heas põllumajandus- ja keskkonnaseisundis hoidmise nõuded;Heinaseemne põldude põldtunnustamise andmete vaatamise teenus
Põllumajandusettevõtete tulemuslikkuse parandamise investeeringutoetuse andmise ja kasutamise tingimused ning kord;Investeeringud põllumajandusettevõtte tulemuslikkuse parandamiseks
Riigi raamatupidamise üldeeskiri;Toetuste väljamaksed klientidele
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Toetuste väljamaksed klientidele
Raamatupidamise seadus;Toetuste väljamaksed klientidele
Riigi raamatupidamise üldeeskiri;Turukorraldustoetuslike tagatiste haldus (deposiittagatised ja pangagarantiid)
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;Turukorraldustoetuslike tagatiste haldus (deposiittagatised ja pangagarantiid)
Raamatupidamise seadus;Turukorraldustoetuslike tagatiste haldus (deposiittagatised ja pangagarantiid)
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;PRIA klientide võlgade/tagasinõuete  haldus
Riigi raamatupidamise üldeeskiri;PRIA klientide võlgade/tagasinõuete  haldus
Raamatupidamise seadus;PRIA klientide võlgade/tagasinõuete  haldus
Riigi raamatupidamise üldeeskiri;PRIA klientide  kohustuste/nõuete  riiklik raamatupidamine
Raamatupidamise seadus;PRIA klientide  kohustuste/nõuete  riiklik raamatupidamine
Riigi raamatupidamise üldeeskiri;PRIA kuluarvestus ja dokumentide töötlemine ning esitamine
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;PRIA kuluarvestus ja dokumentide töötlemine ning esitamine
Raamatupidamise seadus;PRIA kuluarvestus ja dokumentide töötlemine ning esitamine
Kalapüügi- või vesiviljelustoodete tootja või töötleja koolitustoetus;Kalapüügi- või vesiviljelustoodete tootja või töötleja koolitustoetus
Kalapüügi- või vesiviljelustoodete tootja või töötleja praktikatoetus;Kalapüügi- või vesiviljelustoodete tootja või töötleja praktikatoetus
Kalandusturu korraldamise seadus;EKF ja EMKF maksetaotluste esitamise teenus
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;MAK maksetaotluste esitamise teenus
Kalandusturu korraldamise seadus;EKF ja EMKF muudatusavalduste ja lisadokumentide esitamise teenus
Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus;MAK muudatusavalduste ja lisadokumentide esitamise teenus
LEADERi kohaliku arengu strateegia ettevalmistamise toetuse saamise nõuded, toetuse taotlemise ja taotluse menetlemise kord;LEADER kohalikuks arenguks (kohalike tegevusgruppide strateegiate ettevalmistamine)
Kohaliku tegevusgrupi toetus ja LEADER-projektitoetus;Toetus tegevuste teostamiseks kogukonna juhitud kohaliku arengu strateegia raames (LEADER)
Kohaliku tegevusgrupi toetus ja LEADER-projektitoetus;Kohaliku algatusrühma koostöömeetmete ettevalmistamine ja rakendamine (LEADER)
Kohaliku tegevusgrupi toetus ja LEADER-projektitoetus;Toetus jooksvate kulude ja elavdamismeetmete jaoks (LEADER)
Mikro- ja väikeettevõtjate põllumajandustoodete töötlemise ning turustamise investeeringutoetus;Investeeringud põllumajandustoodete töötlemiseks ja turustamiseks (väikesed ja mikrod)
Tunnustatud tootjarühma põllumajandustoodete töötlemise ja turustamise investeeringutoetus;Investeeringud põllumajandustoodete töötlemiseks ja turustamiseks (tootjarühmad)
Keskmise suurusega ettevõtjate ja suurettevõtjate põllumajandustoodete töötlemise ning turustamise investeeringutoetus;Investeeringud põllumajandustoodete töötlemiseks ja turustamiseks (keskmised ja suurettevõtjad)
Kiviaia taastamise toetus;Kiviaia taastamise toetus
Tootjarühma loomise ja arendamise toetus;Tootjarühmade toetus
Tootjarühma tunnustamise taotlemise ja taotluse menetlemise täpsem kord;Tootjarühmade tunnustamine
Teadmussiirde ja teavituse toetus;Teadmussiire ja teave (üleriigilised infopäevad)
Teadmussiirde ja teavituse toetus;Teadmussiire ja teave (maakondlikud infopäevad)
Teadmussiirde pikaajaliste programmide rakendamise toetus;Teadmussiire ja teave (pikaajalised programmid)
Nõustajate koolitustoetus;Toetus nõustajate koolitamiseks
Uute toodete, tavade, protsesside ja tehnoloogiate arendamise toetus;Uute toodete, tavade, protsesside ja tehnoloogiate arendamise toetus
Innovatsiooniklastri toetus;Koostöö (Innovatsiooni klastrid)
Lühikeste tarneahelate või kohalike turgude kaudu põllumajandustoodete ja toidu turustamisvõimaluste arendamise toetus;Lühikeste tarneahelate või kohalike turgude kaudu  põllumajandustoodete ja toidu turustamisvõimaluste arendamise toetus
Metsaala arengu ja metsade elujõulisuse parandamise investeeringutoetus;Metsaala arengu ja metsade elujõulisuse parandamise investeeringutoetus (vastuvõtt EMK-s)
„Eesti maaelu arengukava 2014–2020” raames antava tehnilise abi toetuse saamise nõuded, toetuse taotlemise ja taotluse menetlemise kord;Tehniline abi
Teadlaste ja vesiviljelusettevõtjate koostöötoetus;Teadlaste ja vesiviljelusettevõtjate koostöötoetus
Teadlaste ja kalurite koostöötoetus;Teadlaste ja kalurite koostöötoetus
Kalanduspiirkonna kohaliku arengu strateegia rakendamine;EMKF Kogukondlikult juhitava kohaliku arengu strateegia rakendamine
Kalanduspiirkonna kohaliku arengu strateegia rakendamine;Kalandus- ja vesiviljeluspiirkondade säästev areng - Strateegiate rakendamine (algatusrühmad)
Praktikatoetuse taotlemise ja taotluse menetlemise kord ning nende põllu- ja maamajanduse valdkonna õppekavade loetelu, mille raames toimuva praktika juhendamise ja korraldamise eest praktikatoetust antakse[RT I, 03.05.2011, 2 - jõust. 06.05.2011] ;Praktikatoetus
Põllumajandustootja asendamise toetus;Põllumajandustootja asendamise toetus
Turuarendustoetus;Turuarendustoetus
Põllumajandusloomade aretuse seadus1;Põllumajandusloomade aretustoetus
Põllumajanduskindlustustoetus;Põllumajanduskindlustustoetus
Koolipiimatoetus;Koolipiimatoetus
Koolipuuvilja ja -köögivilja toetus;Koolipuuvilja ja -köögivilja toetus + seotud tegevused
Puu- ja köögiviljasektorile erakorralise abina antav toetus, toetuse taotlemise ning toetuse taotluse menetlemise kord;Erakorraline puu- ja köögivilja toetus
